Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;440,00;0,00;0,00;0,00;0,00;1776,00
0,00;444,00;0,00;0,00;0,00;0,00;1792,00
0,00;448,00;0,00;0,00;0,00;0,00;1808,00
0,00;452,00;0,00;0,00;0,00;0,00;1824,00
0,00;456,00;0,00;0,00;0,00;0,00;1840,00
0,00;460,00;0,00;0,00;0,00;0,00;1856,00
0,00;464,00;0,00;0,00;0,00;0,00;1872,00
0,00;468,00;0,00;0,00;0,00;0,00;1888,00
0,00;472,00;0,00;0,00;0,00;0,00;1904,00
0,00;476,00;0,00;0,00;0,00;0,00;1920,00
0,00;480,00;0,00;0,00;0,00;0,00;1936,00
0,00;484,00;0,00;0,00;0,00;0,00;1952,00
0,00;488,00;0,00;0,00;0,00;0,00;1968,00
0,00;492,00;0,00;0,00;0,00;0,00;1984,00
0,00;496,00;0,00;0,00;0,00;0,00;2000,00
0,00;500,00;0,00;0,00;0,00;0,00;2016,00
0,00;496,00;0,00;0,00;0,00;0,00;2032,00
0,00;492,00;0,00;0,00;0,00;0,00;2048,00
0,00;488,00;0,00;0,00;0,00;0,00;2064,00
0,00;484,00;0,00;0,00;0,00;0,00;2080,00
0,00;480,00;0,00;0,00;0,00;0,00;2096,00
0,00;476,00;0,00;0,00;0,00;0,00;2112,00
0,00;472,00;0,00;0,00;0,00;0,00;2128,00
0,00;468,00;0,00;0,00;0,00;0,00;2144,00
0,00;464,00;0,00;0,00;0,00;0,00;2160,00
0,00;460,00;0,00;0,00;0,00;0,00;2176,00
0,00;456,00;0,00;0,00;0,00;0,00;2192,00
0,00;452,00;0,00;0,00;0,00;0,00;2208,00
0,00;448,00;0,00;0,00;0,00;0,00;2224,00
0,00;444,00;0,00;0,00;0,00;0,00;2240,00
0,00;440,00;0,00;0,00;0,00;0,00;2256,00
0,00;436,00;0,00;0,00;0,00;0,00;2272,00
0,00;432,00;0,00;0,00;0,00;0,00;2288,00
0,00;428,00;0,00;0,00;0,00;0,00;2304,00
0,00;424,00;0,00;0,00;0,00;0,00;2320,00
0,00;420,00;0,00;0,00;0,00;0,00;2336,00
0,00;416,00;0,00;0,00;0,00;0,00;2352,00
0,00;412,00;0,00;0,00;0,00;0,00;2368,00
0,00;408,00;0,00;0,00;0,00;0,00;2384,00
0,00;404,00;0,00;0,00;0,00;0,00;2400,00
0,00;400,00;0,00;0,00;0,00;0,00;2416,00
0,00;396,00;0,00;0,00;0,00;0,00;2432,00
0,00;392,00;0,00;0,00;0,00;0,00;2448,00
0,00;388,00;0,00;0,00;0,00;0,00;2464,00
0,00;384,00;0,00;0,00;0,00;0,00;2480,00
0,00;380,00;0,00;0,00;0,00;0,00;2496,00
0,00;376,00;0,00;0,00;0,00;0,00;2512,00
0,00;372,00;0,00;0,00;0,00;0,00;2528,00
0,00;368,00;0,00;0,00;0,00;0,00;2544,00
0,00;364,00;0,00;0,00;0,00;0,00;2560,00
0,00;360,00;0,00;0,00;0,00;0,00;2576,00
0,00;356,00;0,00;0,00;0,00;0,00;2592,00
0,00;352,00;0,00;0,00;0,00;0,00;2608,00
0,00;348,00;0,00;0,00;0,00;0,00;2624,00
0,00;344,00;0,00;0,00;0,00;0,00;2640,00
0,00;340,00;0,00;0,00;0,00;0,00;2656,00
0,00;336,00;0,00;0,00;0,00;0,00;2672,00
0,00;332,00;0,00;0,00;0,00;0,00;2688,00
0,00;328,00;0,00;0,00;0,00;0,00;2704,00
0,00;324,00;0,00;0,00;0,00;0,00;2720,00
0,00;320,00;0,00;0,00;0,00;0,00;2736,00
0,00;316,00;0,00;0,00;0,00;0,00;2752,00
0,00;312,00;0,00;0,00;0,00;0,00;2768,00
0,00;308,00;0,00;0,00;0,00;0,00;2784,00
0,00;304,00;0,00;0,00;0,00;0,00;2800,00
0,00;300,00;0,00;0,00;0,00;0,00;2816,00
0,00;296,00;0,00;0,00;0,00;0,00;2832,00
0,00;292,00;0,00;0,00;0,00;0,00;2848,00
0,00;288,00;0,00;0,00;0,00;0,00;2864,00
0,00;284,00;0,00;0,00;0,00;0,00;2880,00
0,00;280,00;0,00;0,00;0,00;0,00;2896,00
0,00;276,00;0,00;0,00;0,00;0,00;2912,00
0,00;272,00;0,00;0,00;0,00;0,00;2928,00
0,00;268,00;0,00;0,00;0,00;0,00;2944,00
0,00;264,00;0,00;0,00;0,00;0,00;2960,00
0,00;260,00;0,00;0,00;0,00;0,00;2976,00
0,00;256,00;0,00;0,00;0,00;0,00;2992,00
0,00;252,00;0,00;0,00;0,00;0,00;3008,00
0,00;248,00;0,00;0,00;0,00;0,00;3024,00
0,00;244,00;0,00;0,00;0,00;0,00;3040,00
0,00;240,00;0,00;0,00;0,00;0,00;3056,00
0,00;236,00;0,00;0,00;0,00;0,00;3072,00
0,00;232,00;0,00;0,00;0,00;0,00;3088,00
0,00;228,00;0,00;0,00;0,00;0,00;3104,00
0,00;224,00;0,00;0,00;0,00;0,00;3120,00
0,00;220,00;0,00;0,00;0,00;0,00;3136,00
0,00;216,00;0,00;0,00;0,00;0,00;3152,00
0,00;212,00;0,00;0,00;0,00;0,00;3168,00
0,00;208,00;0,00;0,00;0,00;0,00;3184,00
0,00;204,00;0,00;0,00;0,00;0,00;3200,00
0,00;200,00;0,00;0,00;0,00;0,00;3216,00
0,00;196,00;0,00;0,00;0,00;0,00;3232,00
0,00;192,00;0,00;0,00;0,00;0,00;3248,00
0,00;188,00;0,00;0,00;0,00;0,00;3264,00
0,00;184,00;0,00;0,00;0,00;0,00;3280,00
0,00;180,00;0,00;0,00;0,00;0,00;3296,00
0,00;176,00;0,00;0,00;0,00;0,00;3312,00
0,00;172,00;0,00;0,00;0,00;0,00;3328,00
0,00;168,00;0,00;0,00;0,00;0,00;3344,00
0,00;164,00;0,00;0,00;0,00;0,00;3360,00
0,00;160,00;0,00;0,00;0,00;0,00;3376,00
0,00;156,00;0,00;0,00;0,00;0,00;3392,00
0,00;152,00;0,00;0,00;0,00;0,00;3408,00
0,00;148,00;0,00;0,00;0,00;0,00;3424,00
0,00;144,00;0,00;0,00;0,00;0,00;3440,00
0,00;140,00;0,00;0,00;0,00;0,00;3456,00
0,00;136,00;0,00;0,00;0,00;0,00;3472,00
0,00;132,00;0,00;0,00;0,00;0,00;3488,00
0,00;128,00;0,00;0,00;0,00;0,00;3504,00
0,00;124,00;0,00;0,00;0,00;0,00;3520,00
0,00;120,00;0,00;0,00;0,00;0,00;3536,00
0,00;116,00;0,00;0,00;0,00;0,00;3552,00
0,00;112,00;0,00;0,00;0,00;0,00;3568,00
0,00;108,00;0,00;0,00;0,00;0,00;3584,00
0,00;104,00;0,00;0,00;0,00;0,00;3600,00
0,00;100,00;0,00;0,00;0,00;0,00;3616,00
0,00;96,00;0,00;0,00;0,00;0,00;3632,00
0,00;92,00;0,00;0,00;0,00;0,00;3648,00
0,00;88,00;0,00;0,00;0,00;0,00;3664,00
0,00;84,00;0,00;0,00;0,00;0,00;3680,00
0,00;80,00;0,00;0,00;0,00;0,00;3696,00
0,00;76,00;0,00;0,00;0,00;0,00;3712,00
0,00;72,00;0,00;0,00;0,00;0,00;3728,00
0,00;68,00;0,00;0,00;0,00;0,00;3744,00
0,00;64,00;0,00;0,00;0,00;0,00;3760,00
0,00;60,00;0,00;0,00;0,00;0,00;3776,00
0,00;56,00;0,00;0,00;0,00;0,00;3792,00
0,00;52,00;0,00;0,00;0,00;0,00;3808,00
0,00;48,00;0,00;0,00;0,00;0,00;3824,00
0,00;44,00;0,00;0,00;0,00;0,00;3840,00
0,00;40,00;0,00;0,00;0,00;0,00;3856,00
0,00;36,00;0,00;0,00;0,00;0,00;3872,00
0,00;32,00;0,00;0,00;0,00;0,00;3888,00
0,00;28,00;0,00;0,00;0,00;0,00;3904,00
0,00;24,00;0,00;0,00;0,00;0,00;3920,00
0,00;20,00;0,00;0,00;0,00;0,00;3936,00
0,00;16,00;0,00;0,00;0,00;0,00;3952,00
0,00;12,00;0,00;0,00;0,00;0,00;3968,00
0,00;8,00;0,00;0,00;0,00;0,00;3984,00
0,00;4,00;0,00;0,00;0,00;0,00;4000,00
0,00;0,00;0,00;0,00;0,00;0,00;4016,00
