Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0;0;0;0;0;0;24995200
-1,627;1,225;-2,316;0,479;-0,047;-5,261;24995204
-3,254;2,449;-4,632;0,958;-0,093;-10,522;24995208
-4,881;3,674;-6,948;1,438;-0,14;-15,783;24995212
-6,508;4,898;-9,265;1,917;-0,186;-21,043;24995216
-8,135;6,123;-11,581;2,396;-0,233;-26,304;24995220
-9,761;7,347;-13,897;2,875;-0,279;-31,565;24995224
-11,388;8,572;-16,213;3,355;-0,326;-36,826;24995228
-13,015;9,796;-18,529;3,834;-0,372;-42,087;24995232
-14,642;11,021;-20,845;4,313;-0,419;-47,348;24995236
-16,269;12,246;-23,161;4,792;-0,465;-52,609;24995240
-17,736;13,352;-24;6,986;0,367;-56,97;24995244
-19,202;14,458;-24,838;9,18;1,2;-61,332;24995248
-20,669;15,564;-25,677;11,374;2,033;-65,694;24995252
-22,135;16,67;-26,515;13,568;2,866;-70,055;24995256
-23,602;17,776;-27,354;15,761;3,699;-74,417;24995260
-25,068;18,882;-28,192;17,955;4,532;-78,779;24995264
-26,535;19,988;-29,031;20,149;5,364;-83,141;24995268
-28,001;21,094;-29,869;22,343;6,197;-87,502;24995272
-29,468;22,2;-30,708;24,537;7,03;-91,864;24995276
-30,934;23,307;-31,546;26,731;7,863;-96,226;24995280
-32,401;24,413;-32,385;28,924;8,696;-100,587;24995284
-33,867;25,519;-33,223;31,118;9,529;-104,949;24995288
-35,334;26,625;-34,062;33,312;10,361;-109,311;24995292
-36,8;27,731;-34,901;35,506;11,194;-113,672;24995296
-38,267;28,837;-35,739;37,7;12,027;-118,034;24995300
-39,733;29,943;-36,578;39,894;12,86;-122,396;24995304
-41,2;31,049;-37,416;42,088;13,693;-126,757;24995308
-42,666;32,155;-38,255;44,281;14,525;-131,119;24995312
-44,133;33,262;-39,093;46,475;15,358;-135,481;24995316
-45,6;34,368;-39,932;48,669;16,191;-139,843;24995320
-47,066;35,474;-40,77;50,863;17,024;-144,204;24995324
-47,665;35,936;-37,693;53,943;19,953;-145,139;24995328
-48,263;36,398;-34,616;57,023;22,881;-146,074;24995332
-48,862;36,86;-31,54;60,103;25,81;-147,009;24995336
-49,461;37,322;-28,463;63,183;28,739;-147,944;24995340
-50,06;37,785;-25,386;66,263;31,667;-148,878;24995344
-50,658;38,247;-22,309;69,344;34,596;-149,813;24995348
-51,257;38,709;-19,232;72,424;37,524;-150,748;24995352
-51,856;39,171;-16,155;75,504;40,453;-151,683;24995356
-52,454;39,633;-13,078;78,584;43,382;-152,618;24995360
-53,053;40,095;-10,002;81,664;46,31;-153,553;24995364
-53,652;40,557;-6,925;84,744;49,239;-154,487;24995368
-54,25;41,02;-3,848;87,824;52,168;-155,422;24995372
-54,849;41,482;-0,771;90,904;55,096;-156,357;24995376
-55,448;41,944;2,306;93,985;58,025;-157,292;24995380
-56,046;42,406;5,383;97,065;60,954;-158,227;24995384
-56,645;42,868;8,46;100,145;63,882;-159,162;24995388
-57,244;43,33;11,536;103,225;66,811;-160,096;24995392
-57,842;43,793;14,613;106,305;69,74;-161,031;24995396
-58,441;44,255;17,69;109,385;72,668;-161,966;24995400
-59,04;44,717;20,767;112,465;75,597;-162,901;24995404
-59,639;45,179;23,844;115,545;78,526;-163,836;24995408
-60,237;45,641;26,921;118,626;81,454;-164,771;24995412
