Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0.000;0.000;0.000;0.000;0.000;0.000;15866599
-1.627;1.225;-2.316;0.479;-0.047;-5.261;15866619
-3.254;2.449;-4.632;0.958;-0.093;-10.522;15866639
-4.881;3.674;-6.948;1.438;-0.140;-15.783;15866659
-6.508;4.898;-9.265;1.917;-0.186;-21.043;15866679
-8.135;6.123;-11.581;2.396;-0.233;-26.304;15866699
-9.761;7.347;-13.897;2.875;-0.279;-31.565;15866719
-11.388;8.572;-16.213;3.355;-0.326;-36.826;15866739
-13.015;9.796;-18.529;3.834;-0.372;-42.087;15866759
-14.642;11.021;-20.845;4.313;-0.419;-47.348;15866779
-16.269;12.246;-23.161;4.792;-0.465;-52.609;15866799
-17.736;13.352;-24.000;6.986;0.367;-56.970;15866819
-19.202;14.458;-24.838;9.180;1.200;-61.332;15866839
-20.669;15.564;-25.677;11.374;2.033;-65.694;15866859
-22.135;16.670;-26.515;13.568;2.866;-70.055;15866879
-23.602;17.776;-27.354;15.761;3.699;-74.417;15866899
-25.068;18.882;-28.192;17.955;4.532;-78.779;15866919
-26.535;19.988;-29.031;20.149;5.364;-83.141;15866939
-28.001;21.094;-29.869;22.343;6.197;-87.502;15866959
-29.468;22.200;-30.708;24.537;7.030;-91.864;15866979
-30.934;23.307;-31.546;26.731;7.863;-96.226;15866999
-32.401;24.413;-32.385;28.924;8.696;-100.587;15867019
-33.867;25.519;-33.223;31.118;9.529;-104.949;15867039
-35.334;26.625;-34.062;33.312;10.361;-109.311;15867059
-36.800;27.731;-34.901;35.506;11.194;-113.672;15867079
-38.267;28.837;-35.739;37.700;12.027;-118.034;15867099
-39.733;29.943;-36.578;39.894;12.860;-122.396;15867119
-41.200;31.049;-37.416;42.088;13.693;-126.757;15867139
-42.666;32.155;-38.255;44.281;14.525;-131.119;15867159
-44.133;33.262;-39.093;46.475;15.358;-135.481;15867179
-45.600;34.368;-39.932;48.669;16.191;-139.843;15867199
-47.066;35.474;-40.770;50.863;17.024;-144.204;15867219
-47.665;35.936;-37.693;53.943;19.953;-145.139;15867239
-48.263;36.398;-34.616;57.023;22.881;-146.074;15867259
-48.862;36.860;-31.540;60.103;25.810;-147.009;15867279
-49.461;37.322;-28.463;63.183;28.739;-147.944;15867299
-50.060;37.785;-25.386;66.263;31.667;-148.878;15867319
-50.658;38.247;-22.309;69.344;34.596;-149.813;15867339
-51.257;38.709;-19.232;72.424;37.524;-150.748;15867359
-51.856;39.171;-16.155;75.504;40.453;-151.683;15867379
-52.454;39.633;-13.078;78.584;43.382;-152.618;15867399
-53.053;40.095;-10.002;81.664;46.310;-153.553;15867419
-53.652;40.557;-6.925;84.744;49.239;-154.487;15867439
-54.250;41.020;-3.848;87.824;52.168;-155.422;15867459
-54.849;41.482;-0.771;90.904;55.096;-156.357;15867479
-55.448;41.944;2.306;93.985;58.025;-157.292;15867499
-56.046;42.406;5.383;97.065;60.954;-158.227;15867519
-56.645;42.868;8.460;100.145;63.882;-159.162;15867539
-57.244;43.330;11.536;103.225;66.811;-160.096;15867559
-57.842;43.793;14.613;106.305;69.740;-161.031;15867579
-58.441;44.255;17.690;109.385;72.668;-161.966;15867599
-59.040;44.717;20.767;112.465;75.597;-162.901;15867619
-59.639;45.179;23.844;115.545;78.526;-163.836;15867639
-60.237;45.641;26.921;118.626;81.454;-164.771;15867659
