Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0;0;0;0;0;0;24987328
0,155;2,242;1,158;2,688;2,803;-1,093;24987332
0,309;4,485;2,316;5,377;5,606;-2,186;24987336
0,464;6,727;3,474;8,065;8,409;-3,279;24987340
0,619;8,969;4,632;10,753;11,212;-4,371;24987344
0,774;11,212;5,79;13,442;14,016;-5,464;24987348
0,928;13,454;6,948;16,13;16,819;-6,557;24987352
-1,041;14,775;7,458;18,245;18,967;-9,502;24987356
-3,011;16,095;7,967;20,361;21,116;-12,447;24987360
-4,981;17,416;8,477;22,476;23,264;-15,392;24987364
-6,951;18,736;8,987;24,592;25,413;-18,337;24987368
-8,921;20,057;9,496;26,707;27,561;-21,282;24987372
-10,89;21,378;10,006;28,822;29,709;-24,227;24987376
-12,86;22,698;10,515;30,938;31,858;-27,172;24987380
-14,83;24,019;11,025;33,053;34,006;-30,117;24987384
-16,8;25,339;11,534;35,168;36,155;-33,062;24987388
-18,77;26,66;12,044;37,284;38,303;-36,007;24987392
-20,739;27,981;12,554;39,399;40,452;-38,952;24987396
-22,709;29,301;13,063;41,514;42,6;-41,897;24987400
-24,679;30,622;13,573;43,63;44,749;-44,842;24987404
-26,649;31,942;14,082;45,745;46,897;-47,787;24987408
-28,619;33,263;14,592;47,861;49,046;-50,732;24987412
-30,588;34,584;15,101;49,976;51,194;-53,677;24987416
-32,558;35,904;15,611;52,091;53,343;-56,621;24987420
-34,528;37,225;16,121;54,207;55,491;-59,566;24987424
-36,498;38,545;16,63;56,322;57,639;-62,511;24987428
-38,468;39,866;17,14;58,437;59,788;-65,456;24987432
-40,437;41,187;17,649;60,553;61,936;-68,401;24987436
-42,407;42,507;18,159;62,668;64,085;-71,346;24987440
-44,377;43,828;18,668;64,783;66,233;-74,291;24987444
-46,347;45,148;19,178;66,899;68,382;-77,236;24987448
-48,317;46,469;19,688;69,014;70,53;-80,181;24987452
-50,286;47,79;20,197;71,13;72,679;-83,126;24987456
-52,256;49,11;20,707;73,245;74,827;-86,071;24987460
-54,226;50,431;21,216;75,36;76,976;-89,016;24987464
-56,196;51,751;21,726;77,476;79,124;-91,961;24987468
-58,166;53,072;22,235;79,591;81,272;-94,906;24987472
-60,135;54,393;22,745;81,706;83,421;-97,851;24987476
-62,105;55,713;23,255;83,822;85,569;-100,796;24987480
-64,075;57,034;23,764;85,937;87,718;-103,741;24987484
-66,045;58,354;24,274;88,052;89,866;-106,686;24987488
-65,517;57,199;24,514;90,832;89,102;-111,966;24987492
-64,989;56,043;24,755;93,611;88,337;-117,247;24987496
-64,461;54,887;24,996;96,391;87,572;-122,527;24987500
-63,933;53,731;25,236;99,17;86,807;-127,808;24987504
-63,405;52,576;25,477;101,949;86,043;-133,088;24987508
-62,877;51,42;25,717;104,729;85,278;-138,368;24987512
-62,349;50,264;25,958;107,508;84,513;-143,649;24987516
-61,821;49,108;26,199;110,287;83,748;-148,929;24987520
-61,293;47,953;26,439;113,067;82,984;-154,21;24987524
-60,765;46,797;26,68;115,846;82,219;-159,49;24987528
-60,237;45,641;26,921;118,626;81,454;-164,771;24987532
